region,candidato,sexo,edad_grupo,poblacion_region,porcentaje_grupo,ingreso_promedio,score,sentimiento,probabilidad,ganador,indecisos
Callao,Vizcarra,M,41-60,7350634,0.1278,771,47.8,0.29,0.484,0,0.1232
Tumbes,Acuña,F,60+,5272471,0.0527,830,88.5,0.7,0.7968,1,0.1849
Puno,Alvarez,F,26-40,6464789,0.1062,952,54.56,0.57,0.6139,1,0.1558
Loreto,López Aliaga,F,41-60,9042680,0.1618,830,74.02,0.47,0.6631,1,0.1053
Ucayali,Vizcarra,F,26-40,2265689,0.08,1264,52.05,0.61,0.5834,1,0.344
Cusco,López Aliaga,F,18-25,4955299,0.1361,1261,55.59,0.51,0.5634,1,0.3187
San Martín,Acuña,M,26-40,8081369,0.1721,1255,84.74,0.56,0.6687,1,0.4687
Cusco,Vizcarra,M,26-40,5574183,0.1202,1037,69.34,0.78,0.7204,1,0.3428
La Libertad,Alvarez,M,41-60,5973036,0.052,764,61.17,0.44,0.576,1,0.2174
Ica,López Aliaga,M,60+,5580450,0.1288,988,86.32,0.59,0.6883,1,0.466
Huancavelica,Vizcarra,F,18-25,5345583,0.0904,1202,56.26,0.64,0.6091,1,0.355
Apurímac,Alvarez,M,18-25,6201218,0.123,704,78.55,0.5,0.6509,1,0.3091
Lima,Fujimori,F,60+,1569598,0.0909,940,65.43,0.74,0.7196,1,0.1997
La Libertad,López Aliaga,M,60+,7016204,0.1279,859,74.74,0.73,0.7203,1,0.3497
Ucayali,Acuña,F,60+,9106461,0.0922,1030,46.1,0.41,0.4574,0,0.4627
Amazonas,Alvarez,M,26-40,3035000,0.0509,958,65.54,0.45,0.6046,1,0.1888
Pasco,Fujimori,F,60+,7257294,0.0784,1073,67.91,0.44,0.6233,1,0.126
Piura,Vizcarra,F,41-60,5759617,0.0891,1086,54.24,0.22,0.4371,0,0.3438
Áncash,Vizcarra,F,41-60,6395108,0.1325,924,74.04,0.52,0.6477,1,0.2791
Cajamarca,Vizcarra,M,41-60,7903230,0.0978,993,71.62,0.58,0.6556,1,0.3143
Loreto,Alvarez,M,60+,2459066,0.1405,1025,82.92,0.4,0.6523,1,0.1881
Apurímac,López Aliaga,F,60+,871295,0.1718,1250,46.88,0.4,0.5203,1,0.1454
Tacna,Fujimori,M,41-60,4304473,0.0839,1271,89.81,0.78,0.8063,1,0.3233
Tacna,Alvarez,M,41-60,5692306,0.1666,907,84.35,0.67,0.7332,1,0.3568
Ica,Alvarez,F,60+,1301157,0.1288,803,40.46,0.26,0.3931,0,0.3654
Moquegua,Fujimori,F,26-40,7728040,0.0523,860,64.69,0.31,0.5324,1,0.2466
Cusco,López Aliaga,M,60+,8970528,0.1161,1159,71.82,0.35,0.5602,1,0.3359
Cajamarca,Acuña,M,26-40,4238618,0.0955,925,72.26,0.6,0.6404,1,0.4457
Loreto,López Aliaga,F,41-60,4841776,0.073,1211,87.02,0.77,0.7638,1,0.4659
Apurímac,Vizcarra,M,18-25,9319981,0.1244,880,89.02,0.25,0.6097,1,0.2223
Tacna,Alvarez,F,41-60,7345535,0.1224,717,86.81,0.62,0.7287,1,0.328
Tumbes,Fujimori,F,41-60,8413269,0.0884,854,56.13,0.71,0.6773,1,0.1546
San Martín,Acuña,F,41-60,8582937,0.1687,1107,65.57,0.5,0.5788,1,0.4193
Amazonas,Vizcarra,M,41-60,1972622,0.1253,791,61.92,0.6,0.6427,1,0.2313
